"","Num1","Palo1","Num2","Palo2","Pasar","Ver","Subir"
"602",2,2,6,3,0,0.85,0.15
"603",2,2,7,3,0,0.85,0.15
"604",2,2,8,3,0,0.85,0.15
"605",2,2,9,3,0.0375,0.825,0.1375
"606",2,2,10,3,0,0.85,0.15
"607",2,2,11,3,0.0375,0.825,0.1375
"608",2,2,12,3,0,0.85,0.15
"609",2,2,13,3,0,0.85,0.15
"610",2,2,14,3,0,0.85,0.15
"611",2,2,2,4,0.0375,0.825,0.1375
"612",2,2,3,4,0,0,0
"613",2,2,4,4,0,0,0
"614",2,2,5,4,0,0.85,0.15
"615",2,2,6,4,0,0.85,0.15
"616",2,2,7,4,0,0.85,0.15
"617",2,2,8,4,0,0.85,0.15
"618",2,2,9,4,0,0,0
"619",2,2,10,4,0,0.85,0.15
"620",2,2,11,4,0,0,0
"621",2,2,12,4,0,0,0
"622",2,2,13,4,0,0,0
"623",2,2,14,4,0,0.85,0.15
"624",3,2,4,2,0,0,0
"625",3,2,5,2,0,0,0
"626",3,2,6,2,0,0,0
"627",3,2,7,2,0,0,0
"628",3,2,8,2,0,0,0
"629",3,2,9,2,0,0,0
"630",3,2,10,2,0,0,0
"631",3,2,11,2,0,0,0
"632",3,2,12,2,0,0,0
"633",3,2,13,2,0,0,0
"634",3,2,14,2,0,0,0
"635",3,2,2,3,0,0,0
"636",3,2,3,3,0,0,0
"637",3,2,4,3,0,0,0
"638",3,2,5,3,0,0,0
"639",3,2,6,3,0,0,0
"640",3,2,7,3,0,0,0
"641",3,2,8,3,0,0,0
"642",3,2,9,3,0,0,0
"643",3,2,10,3,0,0,0
"644",3,2,11,3,0,0,0
"645",3,2,12,3,0,0,0
"646",3,2,13,3,0,0,0
"647",3,2,14,3,0,0,0
"648",3,2,2,4,0,0,0
"649",3,2,3,4,0,0,0
"650",3,2,4,4,0,0,0
"651",3,2,5,4,0,0,0
"652",3,2,6,4,0,0,0
"653",3,2,7,4,0,0,0
"654",3,2,8,4,0,0,0
"655",3,2,9,4,0,0,0
"656",3,2,10,4,0,0,0
"657",3,2,11,4,0,0,0
"658",3,2,12,4,0,0,0
"659",3,2,13,4,0,0,0
"660",3,2,14,4,0,0,0
"661",4,2,5,2,0,0,0
"662",4,2,6,2,0,0,0
"663",4,2,7,2,0,0,0
"664",4,2,8,2,0,0,0
"665",4,2,9,2,0,0,0
"666",4,2,10,2,0,0,0
"667",4,2,11,2,0,0,0
"668",4,2,12,2,0,0,0
"669",4,2,13,2,0,0,0
"670",4,2,14,2,0,0,0
"671",4,2,2,3,0,0,0
"672",4,2,3,3,0,0,0
"673",4,2,4,3,0,0,0
"674",4,2,5,3,0,0,0
"675",4,2,6,3,0,0,0
"676",4,2,7,3,0,0,0
"677",4,2,8,3,0,0,0
"678",4,2,9,3,0,0,0
"679",4,2,10,3,0,0,0
"680",4,2,11,3,0,0,0
"681",4,2,12,3,0,0,0
"682",4,2,13,3,0,0,0
"683",4,2,14,3,0,0,0
"684",4,2,2,4,0,0,0
"685",4,2,3,4,0,0,0
"686",4,2,4,4,0,0,0
"687",4,2,5,4,0,0,0
"688",4,2,6,4,0,0,0
"689",4,2,7,4,0,0,0
"690",4,2,8,4,0,0,0
"691",4,2,9,4,0,0,0
"692",4,2,10,4,0,0,0
"693",4,2,11,4,0,0,0
"694",4,2,12,4,0,0,0
"695",4,2,13,4,0,0,0
"696",4,2,14,4,0,0,0
"697",5,2,6,2,0,0.85,0.15
"698",5,2,7,2,0,0,0
"699",5,2,8,2,0,0,0
"700",5,2,9,2,0.0375,0.825,0.1375
"701",5,2,10,2,0,0,0
"702",5,2,11,2,0,0,0
"703",5,2,12,2,0,0.85,0.15
"704",5,2,13,2,0,0.85,0.15
"705",5,2,14,2,0,0,0
"706",5,2,2,3,0,0,0
"707",5,2,3,3,0.0375,0.825,0.1375
